genre,description,year,ancestor
symphonic music,type of instrumental composition for symphony orchestra,,classical music
symphonic poem,piece of orchestral music in a single continuous section,,programme music
symphonic power metal,musical genre,,power metal
symphonic prog,music genre,1968,progressive rock
symphonic rock,rock genre incorporates elements resembling symphonic and orchestral music,,rock music
symphonic trance,music genre,,Eurotrance
symphony,extended musical composition,1600,composed musical work
synagogue music,music genre,,Jewish religious music
synth funk,music genre,,funk
synth metal,subgenre of heavy metal,1980,metal music
synth music,music genre,,electronic music
synth-pop,music genre in which the synthesizer is a key instrument,1972,electronic pop
synth-punk,music genre,1977,punk music
synthwave,2000s genre of electronic music developed in the 1980s,2005,electronic music
séga tambour,"music genre, having two variants on Rodrigues Island and Chagos",,traditional séga
taarab,music genre from East Africa,1880,music of East Africa
tabahaniotika,music genre,,music of Crete
tahona,music genre,,Cuban rumba
tahpah,music genre,,vocal music
taiko music,music genre,,Japanese folk music
tajaraste,music genre and type of dance,,
takamba,African native music and dance,,dance
takborsé,music genre,,
takemoto,music genre,,Gidayūbushi
takmak,music genre,,Chuvash music
talempong,traditional Minangkabau musical instrument and music genre; originated from West Sumatra in Indonesia,,percussion instrument
talempong goyang,music genre,,pop minang
talking blues,musical genre,,American folk music
tallava,music genre in Albania,,Balkan pop-folk
tamborazo,traditional music genre from the Mexican state of Zacatecas,,Mexican folk music
tamborera,music genre,,Hispanic American music
tamborileros de Tabasco,music genre,,
tamborito,genre of Panamanian and Colombian folkloric music and dance dating back as early as the 17th century,,music of Panama
tamborzão,music genre,,Miami bass
tambourin,Provençal dance accompanied by lively duple meter music,,folk dance
tambu music,"musical genre, using the musical instrument of the same name",,
tamburitza,"type of folk music usually played in Slavonia, Voivodina, and Hungarian Baranya and Bacska",,European folk music
tammurriata,music genre,,tarantella
tanci,song genre,,
tango,music genre originating in Argentina and Uruguay,,dance music
tango canción,lyrical-musical composition in which the lyrics respond to the rhythmic and emotional characteristics of the music and the tango dance,,
tango para chicos,music genre,,tango
tango rock,music genre originating from Argentina,1970,rock music
tango romanza,music genre,,tango
tanjidor music,music genre,,music of Indonesia
tanzhammer-pop,music genre,,electronic dance music
tape music,music genre,,experimental music
tappa,genre of music,1700,Hindustani classical music
taqtuqa,music genre,1921,
taqwacore,subgenre of punk music dealing with Islam,1990,hardcore punk
tarab,Arabic concept for emotional state caused by music or recitation,,Arabic music
tarana,type of composition in Hindustani classical vocal music,,Hindustani classical music
tarantella,number of different folk dances characterized by a fast upbeat tempo,,Italian folk dance
tarantella napoletana,Italian folk dance of the tarantella family,,tarantella
tarawangsa,music genre,,Sundanese music
tarjo,shamanic song used in northern Perú traditional medicine,,ritual song
tarkad,music genre and type of dance,,dance
tarraxinha,music genre,,kizomba
tarraxo,"Modern, intense partner dance and musical style that evolved from Angolan Tarraxinha within Afro-Portuguese communities, popular in European urban scenes since the 2010s.",,tarraxinha
tarz,music genre,,pop music
tassa,music genre,,Indo-Caribbean music
tassu,music genre,,Wolof music
taxi kick,variant of gqom,,gqom
tchingounmè,music genre,,traditional folk music
tchink system,music genre,,Fon music
tchinkoumé,music genre and type of dance,,African folk music
tearout brostep,music genre,2015,brostep
tearout dubstep,music genre,2006,dubstep
tech house,musical subgenre of house music,1993,house music
tech trance,subgenre of trance music,1993,trance
technical death metal,sub-genre of death metal,1988,death metal
technical metal,music genre,,metal music
technical thrash metal,music genre,,thrash metal
techno,genre of electronic dance music,1984,electronic dance music
techno bass,music genre,1989,electro
techno body music,music genre,,techno
techno kayō,Japanese music genre,1979,kayōkyoku
techno-pop,early form of synthpop with a more minimal and mechanical sound,1977,synth-pop
techno-tribal,music genre,,techno
technobanda,musical sub genre originating from Mexico,,banda music
technoid,subgenre of drum and bass,,drum and bass
techstep,music genre,1995,drum and bass
tecno brega,genre of music from northern Brazil,2000,electronic music
tecnocumbia,music genre,,Mexican cumbia
tecnofunk,music genre,,tecno brega
tecnomerengue,music genre,,merengue
tecnorumba,Spanish musical genre,1989,dance-pop
teen pop,subgenre of pop music,,pop music
teenage tragedy song,music genre; song type,,ballad
tejano music,"hybrid of the conjunto and norteño music developed in the U.S./Mexico border, rooted in Mexican folk but can also take influences from other genres like country, blues, funk or rock",1945,regional Mexican
television news music,used by television stations to brand their news operations,,theme music
television score,"original music written specifically to accompany a television program, part of the television's soundtrack",,television soundtrack
television soundtrack,recorded music that accompanies a television program,,soundtrack
tembang,music genre,,song
tembang bocah,music genre,,tembang
tembang cianjuran,music genre,,tembang sunda
tembang dolanan,music genre,,tembang
tembang gedhe,music genre,,tembang
tembang kabangsan,music genre,,tembang
tembang macapat,Javanese verse accompanied by traditional music,,tembang
tembang sunda,Indonesian musical style,1850,Sundanese music
tembang tengahan,music genre,,tembang
temperance song,music genre,,song
terror plugg,music genre,,plugg music
terrorcore,music genre,1995,hardcore
tesnif,music genre,,
thall,music genre,,metalcore
theatre music,"music for staged works, whether composed as an integral part of the work (e.g., operas) or to otherwise accompany or enhance it (e.g., incidental music)",,score
theme and variation,musical form,,classical music
theme music,musical composition written specifically for some other work,,soundtrack
therapy music,music made for therapeutic reasons,,functional music
third stream,musical genre,1957,jazz
third wave ska,music genre,,ska
thrash metal,subgenre of heavy metal,1980,extreme metal
thrashcore,Fast-tempo subgenre of hardcore punk,1980,hardcore punk
thrashgrind,fusion genre between thrash metal and grindcore,,grindcore
threnody,"song, hymn or poem of mourning",,song
throat singing,vocal practices found in different cultures of the world and that may involve a wide range of techniques for producing voice and song,,singing
thug rap,music genre,,hip-hop
tiento,musical genre,,composed musical work
tifa totobuang,combination of tifa (drum) and totobuang (bonang gong chime) from the Maluku Islands; type of musical ensemble,,gamelan
timba,music genre,1988,salsa
tinku,music genre and type of dance,,Bolivian dance
tirana,"song and dance of Spanish origin, which arrived in Brazil through Portugal",,fandango
tivaner inngernerlu,music genre,,Inuit music
tizita,music genre,,Ethiopic music
toada de boi,music genre,,Brazilian folk music
toccata,musical form,,classical music
toi music,Central Asian music,,music of Central Asia
tombeau,type of musical composition commemorating the death of a notable individual,,composed musical work
tonada,music genre,1860,traditional folk music
tonada chilena,music genre,,Hispanic American folk music
tonada potosina,music genre,,Andean music
tonadilla,Spanish popular music genre,1757,
tondero,music genre and type of dance,,música criolla
tontipop,music genre,,indie pop
torch song,sentimental song,,love song
torture doom,music genre,,funeral doom metal
totalism,late 20th century genre of art music,,post-minimalism
tough guy hardcore,genre of hardcore punk,,hardcore punk
tourist song,music genre,,poetry song
tower music,musical performance from the top of a tower,,
township bubblegum,music genre,,dance-pop
township music,music genre,,South African jazz
toypop,music genre,,popular music
toytown pop,music genre,,pop music
toytown techno,music genre,1990,electronic dance music
tracker music,music genre,1987,sampler-based music
trad jazz,form of jazz in the United States and Britain that flourished from the 1930s to 1960s,,jazz
tradi-moderne congolais,music genre,,music of Central Africa
tradi-moderne ivoirien,music genre,,music of Ivory Coast
traditional Japanese music,music genre,,music of Japan
traditional Nordic dance music,music genre,,Nordic folk music
traditional bachata,music genre,,bachata
traditional black gospel,music genre,,American folk music
traditional bluegrass,subgenre of bluegrass music,1948,bluegrass music
traditional blues,music genre,,blues
traditional cajun music,earliest and most pure form of cajun music,,Cajun music
traditional country music,subgenre of country,,country music
traditional doom metal,music genre,1981,doom metal
traditional folk instrumental music,music genre,,traditional folk music
traditional folk music,"local or regional traditional music that was originally produced in performance and transmitted in community conditions, as well as music written stylistically and/or ideologically within these traditions",,folk music
